appId,modelName,expMethod,instanceId,pred,i_max,a0_i,a1_i,a2_i,a3_i,a4_i,a5_i,a6_i,intercept
wine_quality_iter7,mlp,shap,0,1,0.0669480060573476,0.0,0.013324523972340515,0.00997236983434411,0.010234470246257376,0.006516074972984531,0.031004706324238476,0.05346676724952646,-0.001591979998808557
wine_quality_iter7,mlp,shap,1,1,0.0669480060573476,0.0,0.03299082912040712,0.0,0.010866896622019376,0.013366063234461123,0.08285016149200566,0.01897072069838146,-0.001591979998808557
wine_quality_iter7,mlp,shap,2,0,0.0669480060573476,0.01335994112513438,0.007194882168437961,0.0,0.0,0.0,0.004376006509849433,0.0,-0.001591979998808557
wine_quality_iter7,mlp,shap,3,1,0.0669480060573476,0.0,0.012828474350191717,0.004735806738828174,0.008962866839417159,0.0053171773806159894,0.03967893815548207,0.07392358768417488,-0.001591979998808557
wine_quality_iter7,mlp,shap,4,1,0.0669480060573476,0.0,0.012099438336142215,0.030938298222455314,0.004891373300890832,0.003276647080704881,0.02840369230061218,0.07644615139307331,-0.001591979998808557
wine_quality_iter7,mlp,shap,5,0,0.0669480060573476,0.03967727132933037,0.028514629682942154,0.0,0.0,0.0,0.0,0.007649161491147339,-0.001591979998808557
wine_quality_iter7,mlp,shap,6,1,0.0669480060573476,0.0,0.014624443061840797,0.06740771285425388,0.007234331896671872,0.0028778236130108867,0.0,0.04456810825146159,-0.001591979998808557
wine_quality_iter7,mlp,shap,7,0,0.0669480060573476,0.0,0.0028320318098852687,0.0202123010933617,0.0,0.013162541525240561,0.06736842949339099,0.0,-0.001591979998808557
wine_quality_iter7,mlp,shap,8,1,0.0669480060573476,0.0,0.037709189801862324,0.0,0.013389422522359709,0.007639765161952671,0.06440978919220709,0.0527894316321654,-0.001591979998808557
wine_quality_iter7,mlp,shap,9,1,0.0669480060573476,0.0,0.0,0.020132825651066152,0.01291602752666112,0.001378756065617534,0.027458278192377755,0.03801829577392927,-0.001591979998808557
wine_quality_iter7,mlp,shap,10,0,0.0669480060573476,0.0,0.008504051675835823,0.014545755079596075,0.0,0.0,0.0619868194415564,0.028541379724612216,-0.001591979998808557
wine_quality_iter7,mlp,shap,11,0,0.0669480060573476,0.0,0.03119222320234164,0.016809395316701687,0.0,0.0,0.06272719095723746,0.021906151905273778,-0.001591979998808557
wine_quality_iter7,mlp,shap,12,1,0.0669480060573476,0.0,0.0,0.039725168450520536,0.008908113327163875,0.0013873189802353497,0.0019779148564124777,0.11531715617347972,-0.001591979998808557
wine_quality_iter7,mlp,shap,13,1,0.0669480060573476,0.0,0.03764365681962216,0.0,0.012667484464116969,0.00942360148516107,0.06316675712392003,0.025263406312563907,-0.001591979998808557
wine_quality_iter7,mlp,shap,14,1,0.0669480060573476,0.0,0.04964088640588543,0.0,0.016205114205077864,0.010960395369173846,0.08853387016188957,0.011861075891297817,-0.001591979998808557
wine_quality_iter7,mlp,shap,15,0,0.0669480060573476,0.0,0.04854621271428823,0.01510283791429396,0.02294888670382262,0.0,0.044525697077914435,0.07368798470499857,-0.001591979998808557
wine_quality_iter7,mlp,shap,16,1,0.0669480060573476,0.0,0.033017477204293114,0.0,0.012414252450723811,0.006073389873181523,0.0013806837589749321,0.07316196363160014,-0.001591979998808557
wine_quality_iter7,mlp,shap,17,0,0.0669480060573476,0.0,0.057993539109307525,0.0,0.043098715836857655,0.0025814867858867108,0.04666224397800775,0.04617869831799042,-0.001591979998808557
wine_quality_iter7,mlp,shap,18,1,0.0669480060573476,0.002241269518986323,0.03360994690585701,0.00019759950047235075,0.0054945146472571964,0.0032535632898956254,0.0341715332510925,0.09106806715984472,-0.001591979998808557
wine_quality_iter7,mlp,shap,19,0,0.0669480060573476,0.0,0.033211624774495144,0.011108677146799384,0.0,0.0,0.058425249707895234,0.0,-0.001591979998808557
wine_quality_iter7,mlp,shap,20,1,0.0669480060573476,0.00013187636304037853,0.012738433216080994,0.0,0.010146769643812366,0.0,0.001210029458988708,0.05761941087305973,-0.001591979998808557
wine_quality_iter7,mlp,shap,21,1,0.0669480060573476,0.022266742425250886,0.0,0.0,0.006053856571679117,0.0,0.0,0.11940827147946456,-0.001591979998808557
wine_quality_iter7,mlp,shap,22,0,0.0669480060573476,0.03837244110502598,0.0,0.024908484389439146,0.0,0.0,0.0,0.05907792171497476,-0.001591979998808557
wine_quality_iter7,mlp,shap,23,1,0.0669480060573476,0.0,0.04146336639948151,0.0,0.014947447402627894,0.002354111740495407,0.08437925854772868,0.0,-0.001591979998808557
wine_quality_iter7,mlp,shap,24,0,0.0669480060573476,0.0,0.00825242703528092,0.02859094198970566,0.0,0.002553340099042456,0.09878573903943583,0.08188579461499772,-0.001591979998808557
wine_quality_iter7,mlp,shap,25,0,0.0669480060573476,0.0,0.06330707453573352,0.017632566586327877,0.0,0.01610663858170699,0.05306480178848283,0.0960580026406126,-0.001591979998808557
