appId,modelName,instanceId,pred,i_max
wine_quality_iter10,mlp,0,1,0
wine_quality_iter10,mlp,1,1,0
wine_quality_iter10,mlp,2,0,0
wine_quality_iter10,mlp,3,1,0
wine_quality_iter10,mlp,4,1,0
wine_quality_iter10,mlp,5,1,0
wine_quality_iter10,mlp,6,1,0
wine_quality_iter10,mlp,7,0,0
wine_quality_iter10,mlp,8,1,0
wine_quality_iter10,mlp,9,1,0
wine_quality_iter10,mlp,10,0,0
wine_quality_iter10,mlp,11,0,0
wine_quality_iter10,mlp,12,1,0
wine_quality_iter10,mlp,13,1,0
wine_quality_iter10,mlp,14,1,0
wine_quality_iter10,mlp,15,0,0
wine_quality_iter10,mlp,16,1,0
wine_quality_iter10,mlp,17,0,0
wine_quality_iter10,mlp,18,1,0
wine_quality_iter10,mlp,19,0,0
wine_quality_iter10,mlp,20,1,0
wine_quality_iter10,mlp,21,0,0
wine_quality_iter10,mlp,22,0,0
wine_quality_iter10,mlp,23,1,0
wine_quality_iter10,mlp,24,0,0
wine_quality_iter10,mlp,25,0,0
wine_quality_iter10,mlp,26,0,0
wine_quality_iter10,mlp,27,0,0
wine_quality_iter10,mlp,28,1,0
wine_quality_iter10,mlp,29,0,0
wine_quality_iter10,mlp,30,0,0
wine_quality_iter10,mlp,31,1,0
wine_quality_iter10,mlp,32,0,0
wine_quality_iter10,mlp,33,0,0
wine_quality_iter10,mlp,34,1,0
wine_quality_iter10,mlp,35,1,0
wine_quality_iter10,mlp,36,0,0
wine_quality_iter10,mlp,37,0,0
wine_quality_iter10,mlp,38,0,0
wine_quality_iter10,mlp,39,1,0
wine_quality_iter10,mlp,40,0,0
wine_quality_iter10,mlp,41,1,0
wine_quality_iter10,mlp,42,0,0
wine_quality_iter10,mlp,43,0,0
wine_quality_iter10,mlp,44,0,0
wine_quality_iter10,mlp,45,0,0
wine_quality_iter10,mlp,46,0,0
wine_quality_iter10,mlp,47,1,0
wine_quality_iter10,mlp,48,0,0
wine_quality_iter10,mlp,49,1,0
wine_quality_iter10,mlp,50,0,0
wine_quality_iter10,mlp,51,0,0
wine_quality_iter10,mlp,52,0,0
wine_quality_iter10,mlp,53,1,0
wine_quality_iter10,mlp,54,1,0
wine_quality_iter10,mlp,55,1,0
wine_quality_iter10,mlp,56,1,0
wine_quality_iter10,mlp,57,0,0
wine_quality_iter10,mlp,58,1,0
wine_quality_iter10,mlp,59,1,0
wine_quality_iter10,mlp,60,1,0
wine_quality_iter10,mlp,61,0,0
wine_quality_iter10,mlp,62,0,0
wine_quality_iter10,mlp,63,1,0
wine_quality_iter10,mlp,64,1,0
wine_quality_iter10,mlp,65,0,0
wine_quality_iter10,mlp,66,1,0
wine_quality_iter10,mlp,67,0,0
wine_quality_iter10,mlp,68,1,0
wine_quality_iter10,mlp,69,1,0
wine_quality_iter10,mlp,70,1,0
wine_quality_iter10,mlp,71,0,0
wine_quality_iter10,mlp,72,0,0
wine_quality_iter10,mlp,73,0,0
wine_quality_iter10,mlp,74,1,0
wine_quality_iter10,mlp,75,0,0
wine_quality_iter10,mlp,76,0,0
wine_quality_iter10,mlp,77,1,0
wine_quality_iter10,mlp,78,0,0
wine_quality_iter10,mlp,79,0,0
wine_quality_iter10,mlp,80,1,0
wine_quality_iter10,mlp,81,1,0
wine_quality_iter10,mlp,82,1,0
wine_quality_iter10,mlp,83,1,0
wine_quality_iter10,mlp,84,0,0
wine_quality_iter10,mlp,85,1,0
wine_quality_iter10,mlp,86,0,0
wine_quality_iter10,mlp,87,1,0
wine_quality_iter10,mlp,88,0,0
wine_quality_iter10,mlp,89,0,0
wine_quality_iter10,mlp,90,0,0
wine_quality_iter10,mlp,91,1,0
wine_quality_iter10,mlp,92,0,0
wine_quality_iter10,mlp,93,1,0
wine_quality_iter10,mlp,94,0,0
wine_quality_iter10,mlp,95,0,0
wine_quality_iter10,mlp,96,0,0
wine_quality_iter10,mlp,97,1,0
wine_quality_iter10,mlp,98,1,0
wine_quality_iter10,mlp,99,1,0
wine_quality_iter10,mlp,100,1,0
wine_quality_iter10,mlp,101,1,0
wine_quality_iter10,mlp,102,1,0
wine_quality_iter10,mlp,103,0,0
wine_quality_iter10,mlp,104,1,0
wine_quality_iter10,mlp,105,1,0
wine_quality_iter10,mlp,106,0,0
wine_quality_iter10,mlp,107,1,0
wine_quality_iter10,mlp,108,1,0
wine_quality_iter10,mlp,109,1,0
wine_quality_iter10,mlp,110,0,0
wine_quality_iter10,mlp,111,0,0
wine_quality_iter10,mlp,112,0,0
wine_quality_iter10,mlp,113,1,0
wine_quality_iter10,mlp,114,1,0
wine_quality_iter10,mlp,115,1,0
wine_quality_iter10,mlp,116,1,0
wine_quality_iter10,mlp,117,1,0
wine_quality_iter10,mlp,118,0,0
wine_quality_iter10,mlp,119,0,0
wine_quality_iter10,mlp,120,0,0
wine_quality_iter10,mlp,121,0,0
