appId,instanceId,v0,y
wine_quality_iter1,0,0.42,1
wine_quality_iter1,1,0.33,1
wine_quality_iter1,2,0.5,0
wine_quality_iter1,3,0.42,1
wine_quality_iter1,4,0.41,1
wine_quality_iter1,5,0.57,0
wine_quality_iter1,6,0.41,1
wine_quality_iter1,7,0.48,0
wine_quality_iter1,8,0.3,1
wine_quality_iter1,9,0.53,1
wine_quality_iter1,10,0.5,0
wine_quality_iter1,11,0.58,1
wine_quality_iter1,12,0.62,1
wine_quality_iter1,13,0.31,1
wine_quality_iter1,14,0.24,1
wine_quality_iter1,15,0.63,0
wine_quality_iter1,16,0.34,1
wine_quality_iter1,17,0.735,0
wine_quality_iter1,18,0.31,1
wine_quality_iter1,19,0.58,0
wine_quality_iter1,20,0.42,1
wine_quality_iter1,21,0.605,0
wine_quality_iter1,22,0.41,1
wine_quality_iter1,23,0.3,1
wine_quality_iter1,24,0.5,0
wine_quality_iter1,25,0.71,0
wine_quality_iter1,26,0.58,0
wine_quality_iter1,27,0.43,1
wine_quality_iter1,28,0.33,1
wine_quality_iter1,29,0.49,0
wine_quality_iter1,30,0.52,1
wine_quality_iter1,31,0.26,0
wine_quality_iter1,32,0.83,0
wine_quality_iter1,33,0.69,0
wine_quality_iter1,34,0.41,1
wine_quality_iter1,35,0.615,1
wine_quality_iter1,36,0.48,1
wine_quality_iter1,37,0.67,0
wine_quality_iter1,38,0.42,0
wine_quality_iter1,39,0.39,0
wine_quality_iter1,40,0.69,0
wine_quality_iter1,41,0.3,1
wine_quality_iter1,42,0.5,0
wine_quality_iter1,43,0.66,0
wine_quality_iter1,44,0.645,0
wine_quality_iter1,45,0.685,1
wine_quality_iter1,46,0.53,0
wine_quality_iter1,47,0.4,1
wine_quality_iter1,48,0.63,0
wine_quality_iter1,49,0.29,0
wine_quality_iter1,50,0.38,0
wine_quality_iter1,51,0.59,0
wine_quality_iter1,52,0.5,0
wine_quality_iter1,53,0.57,1
wine_quality_iter1,54,0.33,1
wine_quality_iter1,55,0.625,0
wine_quality_iter1,56,0.28,1
wine_quality_iter1,57,0.66,1
wine_quality_iter1,58,0.28,1
wine_quality_iter1,59,0.4,1
wine_quality_iter1,60,0.52,1
wine_quality_iter1,61,0.81,0
wine_quality_iter1,62,0.5,0
wine_quality_iter1,63,0.37,1
wine_quality_iter1,64,0.59,1
wine_quality_iter1,65,0.42,0
wine_quality_iter1,66,0.48,1
wine_quality_iter1,67,0.52,0
wine_quality_iter1,68,0.28,1
wine_quality_iter1,69,0.12,1
wine_quality_iter1,70,0.31,0
wine_quality_iter1,71,0.58,1
wine_quality_iter1,72,0.43,0
wine_quality_iter1,73,0.3,1
wine_quality_iter1,74,0.4,0
wine_quality_iter1,75,0.55,0
wine_quality_iter1,76,0.585,0
wine_quality_iter1,77,0.25,1
wine_quality_iter1,78,0.63,0
wine_quality_iter1,79,0.52,1
wine_quality_iter1,80,0.37,1
wine_quality_iter1,81,0.27,1
wine_quality_iter1,82,0.12,1
wine_quality_iter1,83,0.38,1
wine_quality_iter1,84,0.59,0
wine_quality_iter1,85,0.37,1
wine_quality_iter1,86,0.56,0
wine_quality_iter1,87,0.44,0
wine_quality_iter1,88,0.38,0
wine_quality_iter1,89,0.59,0
wine_quality_iter1,90,0.815,1
wine_quality_iter1,91,0.21,1
wine_quality_iter1,92,0.82,0
wine_quality_iter1,93,0.3,1
wine_quality_iter1,94,0.27,1
wine_quality_iter1,95,0.725,0
wine_quality_iter1,96,0.785,0
wine_quality_iter1,97,0.27,0
wine_quality_iter1,98,0.47,1
wine_quality_iter1,99,0.28,1
wine_quality_iter1,100,0.34,1
wine_quality_iter1,101,0.51,1
wine_quality_iter1,102,0.395,1
wine_quality_iter1,103,0.915,1
wine_quality_iter1,104,0.32,0
wine_quality_iter1,105,0.28,1
wine_quality_iter1,106,0.53,0
wine_quality_iter1,107,0.585,1
wine_quality_iter1,108,0.41,0
wine_quality_iter1,109,0.4,1
wine_quality_iter1,110,0.41,1
wine_quality_iter1,111,0.7,0
wine_quality_iter1,112,0.43,0
wine_quality_iter1,113,0.24,1
wine_quality_iter1,114,0.4,1
wine_quality_iter1,115,0.32,1
wine_quality_iter1,116,0.32,0
wine_quality_iter1,117,0.31,1
wine_quality_iter1,118,0.58,0
wine_quality_iter1,119,0.67,0
wine_quality_iter1,120,0.63,0
wine_quality_iter1,121,0.68,0
