appId,instanceId,v0,v1,y
wine_quality_iter2,0,0.42,3.24,1
wine_quality_iter2,1,0.33,3.18,1
wine_quality_iter2,2,0.5,3.18,0
wine_quality_iter2,3,0.42,3.24,1
wine_quality_iter2,4,0.41,3.24,1
wine_quality_iter2,5,0.57,3.12,0
wine_quality_iter2,6,0.41,3.21,1
wine_quality_iter2,7,0.48,3.45,0
wine_quality_iter2,8,0.3,3.26,1
wine_quality_iter2,9,0.53,3.05,1
wine_quality_iter2,10,0.5,3.31,0
wine_quality_iter2,11,0.58,3.32,1
wine_quality_iter2,12,0.62,3.22,1
wine_quality_iter2,13,0.31,3.24,1
wine_quality_iter2,14,0.24,3.15,1
wine_quality_iter2,15,0.63,3.26,0
wine_quality_iter2,16,0.34,3.2,1
wine_quality_iter2,17,0.735,3.47,0
wine_quality_iter2,18,0.31,3.31,1
wine_quality_iter2,19,0.58,3.22,0
wine_quality_iter2,20,0.42,3.35,1
wine_quality_iter2,21,0.605,3.56,0
wine_quality_iter2,22,0.41,3.02,1
wine_quality_iter2,23,0.3,3.31,1
wine_quality_iter2,24,0.5,3.36,0
wine_quality_iter2,25,0.71,3.47,0
wine_quality_iter2,26,0.58,3.32,0
wine_quality_iter2,27,0.43,3.22,1
wine_quality_iter2,28,0.33,3.26,1
wine_quality_iter2,29,0.49,3.41,0
wine_quality_iter2,30,0.52,3.34,1
wine_quality_iter2,31,0.26,3.21,0
wine_quality_iter2,32,0.83,3.38,0
wine_quality_iter2,33,0.69,3.38,0
wine_quality_iter2,34,0.41,3.34,1
wine_quality_iter2,35,0.615,3.07,1
wine_quality_iter2,36,0.48,3.3,1
wine_quality_iter2,37,0.67,3.26,0
wine_quality_iter2,38,0.42,3.21,0
wine_quality_iter2,39,0.39,3.39,0
wine_quality_iter2,40,0.69,3.26,0
wine_quality_iter2,41,0.3,3.27,1
wine_quality_iter2,42,0.5,3.25,0
wine_quality_iter2,43,0.66,3.61,0
wine_quality_iter2,44,0.645,3.4,0
wine_quality_iter2,45,0.685,2.95,1
wine_quality_iter2,46,0.53,3.38,0
wine_quality_iter2,47,0.4,3.27,1
wine_quality_iter2,48,0.63,3.37,0
wine_quality_iter2,49,0.29,3.41,0
wine_quality_iter2,50,0.38,3.32,0
wine_quality_iter2,51,0.59,3.0,0
wine_quality_iter2,52,0.5,3.35,0
wine_quality_iter2,53,0.57,3.57,1
wine_quality_iter2,54,0.33,3.36,1
wine_quality_iter2,55,0.625,3.11,0
wine_quality_iter2,56,0.28,3.25,1
wine_quality_iter2,57,0.66,3.37,1
wine_quality_iter2,58,0.28,2.98,1
wine_quality_iter2,59,0.4,3.38,1
wine_quality_iter2,60,0.52,3.15,1
wine_quality_iter2,61,0.81,3.19,0
wine_quality_iter2,62,0.5,3.16,0
wine_quality_iter2,63,0.37,3.24,1
wine_quality_iter2,64,0.59,3.42,1
wine_quality_iter2,65,0.42,3.29,0
wine_quality_iter2,66,0.48,3.37,1
wine_quality_iter2,67,0.52,2.74,0
wine_quality_iter2,68,0.28,3.26,1
wine_quality_iter2,69,0.12,3.41,1
wine_quality_iter2,70,0.31,3.41,0
wine_quality_iter2,71,0.58,3.36,1
wine_quality_iter2,72,0.43,3.26,0
wine_quality_iter2,73,0.3,3.01,1
wine_quality_iter2,74,0.4,3.04,0
wine_quality_iter2,75,0.55,3.28,0
wine_quality_iter2,76,0.585,3.2,0
wine_quality_iter2,77,0.25,3.27,1
wine_quality_iter2,78,0.63,3.28,0
wine_quality_iter2,79,0.52,3.38,1
wine_quality_iter2,80,0.37,3.23,1
wine_quality_iter2,81,0.27,3.2,1
wine_quality_iter2,82,0.12,3.41,1
wine_quality_iter2,83,0.38,3.12,1
wine_quality_iter2,84,0.59,3.28,0
wine_quality_iter2,85,0.37,3.17,1
wine_quality_iter2,86,0.56,3.26,0
wine_quality_iter2,87,0.44,3.06,0
wine_quality_iter2,88,0.38,3.2,0
wine_quality_iter2,89,0.59,3.31,0
wine_quality_iter2,90,0.815,3.58,1
wine_quality_iter2,91,0.21,3.23,1
wine_quality_iter2,92,0.82,3.2,0
wine_quality_iter2,93,0.3,3.14,1
wine_quality_iter2,94,0.27,3.25,1
wine_quality_iter2,95,0.725,3.29,0
wine_quality_iter2,96,0.785,3.16,0
wine_quality_iter2,97,0.27,3.38,0
wine_quality_iter2,98,0.47,3.54,1
wine_quality_iter2,99,0.28,3.33,1
wine_quality_iter2,100,0.34,3.27,1
wine_quality_iter2,101,0.51,3.09,1
wine_quality_iter2,102,0.395,3.27,1
wine_quality_iter2,103,0.915,3.35,1
wine_quality_iter2,104,0.32,3.17,0
wine_quality_iter2,105,0.28,3.15,1
wine_quality_iter2,106,0.53,3.5,0
wine_quality_iter2,107,0.585,3.56,1
wine_quality_iter2,108,0.41,3.42,0
wine_quality_iter2,109,0.4,3.32,1
wine_quality_iter2,110,0.41,3.02,1
wine_quality_iter2,111,0.7,3.32,0
wine_quality_iter2,112,0.43,3.42,0
wine_quality_iter2,113,0.24,3.14,1
wine_quality_iter2,114,0.4,3.28,1
wine_quality_iter2,115,0.32,3.33,1
wine_quality_iter2,116,0.32,3.2,0
wine_quality_iter2,117,0.31,3.33,1
wine_quality_iter2,118,0.58,3.27,0
wine_quality_iter2,119,0.67,3.42,0
wine_quality_iter2,120,0.63,3.32,0
wine_quality_iter2,121,0.68,3.5,0
