appId,modelName,expMethod,instanceId,pred,i_max,a0_i,a1_i,a2_i,a3_i,a4_i,a5_i,a6_i,a7_i,a8_i,a9_i,intercept
wine_quality_iter1,mlp,shap,0,0,0.1920862297369885,-0.0321517301293521,,,,,,,,,,0.0024501395913272
wine_quality_iter1,mlp,shap,1,1,0.1920862297369885,0.0804876970557064,,,,,,,,,,0.0024501395913272
wine_quality_iter1,mlp,shap,2,1,0.1920862297369885,0.1433307813910336,,,,,,,,,,0.0024501395913272
wine_quality_iter1,mlp,shap,3,0,0.1920862297369885,-0.1522402775975375,,,,,,,,,,0.0024501395913272
wine_quality_iter1,mlp,shap,4,1,0.1920862297369885,0.2168388652113766,,,,,,,,,,0.0024501395913272
wine_quality_iter1,mlp,shap,5,1,0.1920862297369885,0.153002350261578,,,,,,,,,,0.0024501395913272
wine_quality_iter1,mlp,shap,6,1,0.1920862297369885,0.1236322807577938,,,,,,,,,,0.0024501395913272
wine_quality_iter1,mlp,shap,7,0,0.1920862297369885,-0.1522402775975375,,,,,,,,,,0.0024501395913272
wine_quality_iter1,mlp,shap,8,0,0.1920862297369885,-0.1206652534695773,,,,,,,,,,0.0024501395913272
wine_quality_iter1,mlp,shap,9,0,0.1920862297369885,-0.1726027143689303,,,,,,,,,,0.0024501395913272
wine_quality_iter1,mlp,shap,10,0,0.1920862297369885,-0.0658775282593875,,,,,,,,,,0.0024501395913272
wine_quality_iter1,mlp,shap,11,1,0.1920862297369885,0.0694152998236508,,,,,,,,,,0.0024501395913272
wine_quality_iter1,mlp,shap,12,1,0.1920862297369885,0.2645894574431271,,,,,,,,,,0.0024501395913272
wine_quality_iter1,mlp,shap,13,1,0.1920862297369885,0.0245110081938595,,,,,,,,,,0.0024501395913272
wine_quality_iter1,mlp,shap,14,1,0.1920862297369885,0.1236322807577938,,,,,,,,,,0.0024501395913272
wine_quality_iter1,mlp,shap,15,0,0.1920862297369885,-0.0990267110558658,,,,,,,,,,0.0024501395913272
wine_quality_iter1,mlp,shap,16,1,0.1920862297369885,0.2319586562422604,,,,,,,,,,0.0024501395913272
wine_quality_iter1,mlp,shap,17,0,0.1920862297369885,-0.0264957261773257,,,,,,,,,,0.0024501395913272
wine_quality_iter1,mlp,shap,18,1,0.1920862297369885,0.0694152998236508,,,,,,,,,,0.0024501395913272
wine_quality_iter1,mlp,shap,19,1,0.1920862297369885,0.0018475341109127,,,,,,,,,,0.0024501395913272
wine_quality_iter1,mlp,shap,20,1,0.1920862297369885,0.1136192368773312,,,,,,,,,,0.0024501395913272
wine_quality_iter1,mlp,shap,21,1,0.1920862297369885,0.0917222785261959,,,,,,,,,,0.0024501395913272
wine_quality_iter1,mlp,shap,22,1,0.1920862297369885,0.1236322807577938,,,,,,,,,,0.0024501395913272
wine_quality_iter1,mlp,shap,23,0,0.1920862297369885,-0.0880590391846805,,,,,,,,,,0.0024501395913272
wine_quality_iter1,mlp,shap,24,1,0.1920862297369885,0.0582704233435482,,,,,,,,,,0.0024501395913272
wine_quality_iter1,mlp,shap,25,1,0.1920862297369885,0.1433307813910336,,,,,,,,,,0.0024501395913272
wine_quality_iter1,mlp,shap,26,0,0.1920862297369885,-0.0880590391846805,,,,,,,,,,0.0024501395913272
wine_quality_iter1,mlp,shap,27,1,0.1920862297369885,0.1236322807577938,,,,,,,,,,0.0024501395913272
wine_quality_iter1,mlp,shap,28,1,0.1920862297369885,0.10327806942738,,,,,,,,,,0.0024501395913272
wine_quality_iter1,mlp,shap,29,1,0.1920862297369885,0.1993404912260861,,,,,,,,,,0.0024501395913272
wine_quality_iter1,mlp,shap,30,1,0.1920862297369885,0.133538513114819,,,,,,,,,,0.0024501395913272
wine_quality_iter1,mlp,shap,31,0,0.1920862297369885,-0.054684997865787,,,,,,,,,,0.0024501395913272
wine_quality_iter1,mlp,shap,32,1,0.1920862297369885,0.0917222785261959,,,,,,,,,,0.0024501395913272
wine_quality_iter1,mlp,shap,33,0,0.1920862297369885,-0.1726027143689303,,,,,,,,,,0.0024501395913272
wine_quality_iter1,mlp,shap,34,1,0.1920862297369885,0.0582704233435482,,,,,,,,,,0.0024501395913272
wine_quality_iter1,mlp,shap,35,1,0.1920862297369885,0.1812310504225582,,,,,,,,,,0.0024501395913272
wine_quality_iter1,mlp,shap,36,0,0.1920862297369885,-0.0658775282593875,,,,,,,,,,0.0024501395913272
