appId,modelName,expMethod,instanceId,pred,i_max,a0_i,a1_i,a2_i,a3_i,a4_i,intercept
wine_quality_iter5,mlp,shap,0,1,0.11119977474518311,0.024596734013503922,0.007859594062543773,0.016862152653435884,0.01695369672889896,0.09010002753768981,-0.011480287290536462
wine_quality_iter5,mlp,shap,1,1,0.11119977474518311,0.06454049415026714,0.004531047906822155,0.02976484209203563,0.04763365062001427,0.029338768051029824,-0.011480287290536462
wine_quality_iter5,mlp,shap,2,0,0.11119977474518311,-0.016990980672148475,-0.004880880716328416,0.02447722943547439,-0.0025133765269166487,0.004060947776604904,-0.011480287290536462
wine_quality_iter5,mlp,shap,3,1,0.11119977474518311,0.02410248940094158,0.005810898025639527,0.015504858106947884,0.021716785835914153,0.1284893356063045,-0.011480287290536462
wine_quality_iter5,mlp,shap,4,1,0.11119977474518311,0.026990249881950815,0.0035803410248496925,0.013022123444347793,0.020623173153935435,0.16976794268553816,-0.011480287290536462
wine_quality_iter5,mlp,shap,5,0,0.11119977474518311,-0.055240571348903984,0.006273646320288019,0.0344241288103736,0.023561540601345195,-0.01633931177548873,-0.011480287290536462
wine_quality_iter5,mlp,shap,6,1,0.11119977474518311,0.027642921669742988,0.011224469080185262,0.01552729795376466,-0.059893146476302374,0.0908630534013112,-0.011480287290536462
wine_quality_iter5,mlp,shap,7,0,0.11119977474518311,-0.0038930763065432583,0.008284466218871965,-0.03129946432148032,-0.03172838858209359,0.036120496076077924,-0.011480287290536462
wine_quality_iter5,mlp,shap,8,1,0.11119977474518311,0.07061558364389033,0.007565649785101408,0.012845404661045643,0.03878386691212655,0.09097459185868506,-0.011480287290536462
wine_quality_iter5,mlp,shap,9,1,0.11119977474518311,-0.03293224011953812,0.008201080785156814,0.02432694689203532,0.014188769244803771,0.057827995579021046,-0.011480287290536462
wine_quality_iter5,mlp,shap,10,0,0.11119977474518311,-0.01361432563035913,0.012297673352444756,0.0005029177637054238,-0.028263445789806368,-0.0482024315448525,-0.011480287290536462
wine_quality_iter5,mlp,shap,11,0,0.11119977474518311,-0.05060067596630405,0.013833296781357998,-0.0008982694683930953,-0.026972526612763198,-0.038143403059205924,-0.011480287290536462
wine_quality_iter5,mlp,shap,12,1,0.11119977474518311,-0.06699900099864357,0.007687072432002937,0.004653620958710395,0.001146578683684979,0.22607261504595846,-0.011480287290536462
wine_quality_iter5,mlp,shap,13,1,0.11119977474518311,0.07059508503247523,0.006717185660814612,0.018424968148271288,0.03455400656431151,0.04035657003712963,-0.011480287290536462
