appId,modelName,instanceId,pred,i_max
german_credit,xgboost,0,0,0
german_credit,xgboost,1,0,0
german_credit,xgboost,2,1,0
german_credit,xgboost,3,1,0
german_credit,xgboost,4,0,0
german_credit,xgboost,5,1,0
german_credit,xgboost,6,0,0
german_credit,xgboost,7,0,0
german_credit,xgboost,8,1,0
german_credit,xgboost,9,0,0
german_credit,xgboost,10,0,0
german_credit,xgboost,11,1,0
german_credit,xgboost,12,0,0
german_credit,xgboost,13,1,0
german_credit,xgboost,14,0,0
german_credit,xgboost,15,1,0
german_credit,xgboost,16,0,0
german_credit,xgboost,17,0,0
german_credit,xgboost,18,1,0
german_credit,xgboost,19,0,0
german_credit,xgboost,20,0,0
german_credit,xgboost,21,0,0
german_credit,xgboost,22,1,0
german_credit,xgboost,23,1,0
german_credit,xgboost,24,0,0
german_credit,xgboost,25,1,0
german_credit,xgboost,26,0,0
german_credit,xgboost,27,1,0
german_credit,xgboost,28,0,0
german_credit,xgboost,29,1,0
german_credit,xgboost,30,0,0
german_credit,xgboost,31,1,0
german_credit,xgboost,32,0,0
german_credit,xgboost,33,0,0
german_credit,xgboost,34,1,0
german_credit,xgboost,35,1,0
german_credit,xgboost,36,1,0
german_credit,xgboost,37,1,0
german_credit,xgboost,38,1,0
german_credit,xgboost,39,0,0
german_credit,xgboost,40,1,0
german_credit,xgboost,41,0,0
german_credit,xgboost,42,1,0
german_credit,xgboost,43,0,0
german_credit,xgboost,44,0,0
german_credit,xgboost,45,1,0
german_credit,xgboost,46,1,0
german_credit,xgboost,47,1,0
german_credit,xgboost,48,1,0
german_credit,xgboost,49,1,0
german_credit,xgboost,50,0,0
german_credit,xgboost,51,0,0
german_credit,xgboost,52,1,0
german_credit,xgboost,53,0,0
german_credit,xgboost,54,1,0
german_credit,xgboost,55,0,0
german_credit,xgboost,56,0,0
german_credit,xgboost,57,1,0
german_credit,xgboost,58,0,0
german_credit,xgboost,59,0,0
german_credit,xgboost,60,0,0
german_credit,xgboost,61,0,0
german_credit,xgboost,62,0,0
german_credit,xgboost,63,1,0
german_credit,xgboost,64,0,0
german_credit,xgboost,65,0,0
german_credit,xgboost,66,0,0
german_credit,xgboost,67,0,0
german_credit,xgboost,68,1,0
german_credit,xgboost,69,0,0
german_credit,xgboost,70,1,0
german_credit,xgboost,71,1,0
german_credit,xgboost,72,0,0
german_credit,xgboost,73,1,0
german_credit,xgboost,74,1,0
german_credit,xgboost,75,1,0
german_credit,xgboost,76,1,0
german_credit,xgboost,77,0,0
german_credit,xgboost,78,0,0
german_credit,xgboost,79,0,0
german_credit,xgboost,80,0,0
